playlist_id,track_ids
7, 3648 17154 14765 20443 15935  4826 17276  2984 13123 12311
25,16866  4202   699  1713   800   463  7545  3788 20500  5620
29,17200  8001  2159 19814  3903 15341 15886  4366  1344    56
34,18661  6285 18303  4998  1828  1850   574  7931  7311 20076
50,17429  8229  6371  9439 11896 20037 17926  9941 19703 10041
52,18059  9441  1935  8456  7131  1357  8838 19173  6577 14827
60,18904  5925 18995 17192 18336  1551 11304  3344 16667  3600
64, 9396  2203 15038  5726  4014  4144  2134 10055 11795  7146
77,13188 18119  6577  3417  9346  4743  9232 11641  5851 16385
80, 9168  5683 14683 18026 19205 16391 10203  3919  5878 15335
106, 8145  6518 14758  1591 20295 14277 10848  2497 15771 12622
138,18856 17081  9940 19825 15322  8474  6137  5149 10834 11451
143,20172  8491  4401   411   868 14277  7506  5606 14826 14732
149, 4460 17597 17631 18859 19783  4364 13980 15570 12182  3292
169, 7157 14226  9982  6901 19776 16311 19858  6409 20487 19976
180, 6433  6220 10196  6971 18231 20135 14797  5722 10089  1023
210,14904  9804 16583 19305   394  6788  4745 18743  5429 14661
231,12952  4962 19462 10236  6237 13123  8869  6006   508  7081
241, 1641  4058 15090 15661  4026  3788  5359 18922  8934 18421
244,17096 16760  2439 11366 13782 10264 14395 18637  4186 13237
256,10543 12898  3600  4366 19112 14907  4543  7701 17560 17249
258,14395 11366  6253  6556 12563 13988 15017 14758 14591  7059
265, 5664 20591 16331   387 14066 11200  7421 13032 11696 11243
268, 3855  5817  4743 14149 10975  3750  1247 18249   559  4023
271, 5023 19075   394 19305 11483  6788 10691  8033 14306 19770
272, 3467 12712 11688 20285  4070 13609 19852 13052 18055  3486
275, 3885 10264 11107  9705 20489 11032 13237   778  5100 12591
277, 7224 16673 10481  3001 15942  6433 16144  9903   972 12910
290, 6577 14907 11715 18059 16457  8880  6098  2508  1944   579
310, 8749 15438 16973 17715  1063 12164 14097  7811  7947 20443
326, 3811 13971 17034  2252 13034  1231  9698  1719 12639  5224
365,13129  7989  2247  2203 11756 20359   817 14571 16905  6823
392, 2272  9705 11896 19950  6015 14395 14277 11255  2068 15259
407, 2821 14490 10659  5846  1316  7398 10207  7550 16645 19119
413, 5152  4026  9550  5477 18878  3238  5564 13846   963  3519
422,16822 11006  6442 14775  4248 15774  2248  8346 20553  8838
432, 3944   520 16930 12526 11599  6577   913  5286  8950 20007
455, 4072 11016  7953  4201  2631 13276  2807  1014 13573  5527
470, 4910  1111   963 11648  4531  2780  7479 10848 13984  9460
492,11896 15414  2870  9963 12436  6294 12262  1063 16517  1850
495, 9963 11759   956  4523 17200  9508 18743  8734 16100 15498
497,  550  4305 13595 14176 11101 13551 11528 13706  4267  3073
505, 9229  1898  7197 18040   559 14289  2889  6453 14149  1247
509, 8822 12639  9291  9826   280 12681 15699 14023  8767  8018
514, 2740  3729  1746 17096  1494 17881 18601 17195  1260 17972
529, 9635  9690 17584 20251 14899  2873  4060  2728 12574  3788
532,18615  2253  2417  2778 18297  8939  3553  4710 14213 11176
537,20145 13708  1171  3731 19956  4311 20480 10706  2672 12639
545,16465 11282 18285  1830 18743 18547  5674 20371  5654  6367
564,11930 10834  6783 11882  6509 18198 13995 17576   720 17288
567, 7953 12225   395 11020 11016 16318 10561 10316  6911  7844
580,10848 20172  4401 15771 19377 18920  4949  1189   411 10024
582,12940 17634 15498 11496  2665 14597 16100  4909  5679  8358
592, 4891 18940 12096 12404  9066  9098  4128  1253  9785 19619
611, 7085 11157  6823  9778 17524 16083  5463 13844  8507 17923
615,  913 10081  1014 10316  1039  6915 16318  9242  2719  8781
619, 5968 13446  6823  2133 10957 15547  1139  8452 13129 16205
622, 6093 17699  9051  4839  9429  6985 18876  6584   456 11148
625, 7157  4710 19858  5971  9051  5314 11635 11002 18615 16311
631, 5987 11938  6616 14837  3150 16482  8595 13552   745 16460
633,15209  3347  6892  3190  8160 13980 18401 13250 18617 18728
636,12173  9670 12295  9060  9678     6 10657 15633  1444   845
642,18446  8822 18575  5881 11117 17918 14295  8690  1534 16820
646, 5846 18899  3403  1144 15495 10636 14994  7920  2317  1085
676,  573  2674  2587  9705  6253  9624  9291  8953 18637  4127
683, 1020  5524   699  3491  4720 14178  2090  5534   888  3375
686,12173 11654 18289 14679  2212  3212  9961  4255 10694 15633
704,10848  3830  1149 14008  8134 19252  7728 11646  7416 10855
709,12490 11522  6062 10834  9473 15322 17663 11279 12897  5965
714,11740 11756 19929 20359 18726 20163  4653  9491  2577  7193
719, 4926 15215 11905 10877 10910  1965 14574  4438 13633  5216
721,13321  1196  6411 11914  9408    21  5763 11006  3055  9941
724,17550  3410  5746 19486 10992  5003  9093  6043 18062  8456
731, 4013 14668 11357 16601 19606  6971 18191  5612  3996 16100
735,10496 18728 11896  1635 18266  2740 12563  6253 14395 11366
737, 9717  4089 19929  4986 15430 15285 15526  9645  9276 17512
740, 8709  2508 16521  4800  6776  5750    56  9003  7544 18599
744,19602  1372  5403  1427 18729  9804 17516  3996 13669  6370
746,  658  1300  3624  8017  2236 19462 17586 20325  3860  5655
774, 9752 16817  8377 18745 17815  5089 15142 16509 11661 20065
788, 4482 15474  5572  6103  1591 20197 10848  9765 19889 18096
818, 4089 10089 20163  6823  8640 12507 11740 13154  8437  7224
859, 7544  8045 12931  6776  8709  7645 16521  9257  1898 16708
914,19254 11744  5463 12284 16994  7163  3996   316 12635 18729
924,11196  7325 20197 17134 10026  8145  6494 19605  9645 13622
925, 2551 17663 20232 12712  6672   663  4253  9473  7558 10834
926, 3189  3748  4514 19471  1085 11369 16994  2357  8599  2497
927, 1979  6492 16930 19556  5379  5286 20497 16756  6577 19336
949,15578  2873  1635 13081  9765  6430 12436 13216  3295 20152
957, 4079 17971 17114  2783  9795 19873 19485  4268 16579  4957
961,10577 12114  2918  9473 13973  3341  3961 12395   762 11688
988, 3600 18490 17586 11133  8356 15886 18830  4347  8874 17042
994, 7539  9175 20262 14774  1329 13384 16288 11088 16351  5675
1016,14581 14986  8411  1944 13747 14184 11608 11754 17473 12952
1021,19135 12804  4443 15392  8129  2915  9585  8855 11239 10347
1027, 6509 17744  5965 13711 10511   339 16941 18938 15703  2693
1046, 3558  1372 12599  5359  5611  5786 18446  4834  3011  3790
1057,19834  7100    75 17714 12789   830 17530 10259 19770  5639
1065,10838 18956   975  8426  3602 12466 18287  8048  2323 19376
1066, 3622  2897  7904  6466 17200  4226 11573  2853  7039  8138
1087,  797  1111 13029    37 10591 16994  2627 16379  3788  1085
1092, 4745  9579 19075 10346 19466 18743 19305  9211 19770  4212
1099,14826 10269 10848   394 12510 15090  8866  2151 16494  6353
1103, 3698  4301  3001 17923  1489  5722 11157 17984  6433   508
