playlist_id,track_ids
7, 3648 20443 17154 15935  2984 14765  8749  5846 13123  4469
25,16866  3788  1713  4202   699   800   463 17281  1726 14338
29,17200  8001  2159 19814  4366 15341  3903 18361 10306 15430
34,18661  6285  1850  1828  4998 18303 20076  8950 20120 14751
50,11415  1256  7562 18122  9439 19703  8048 18356 11502 17984
52,14827 18059  2513 17281  7131 13531 12061 16293 11951 13539
60, 1374  5314 14867  6582 17926 14940 18669 12833 11025  5971
64,12988 11795 15038 12507 16686  9396 11512 19659 10055  8437
77, 6577 13188 18119  3417  9346  4743 11641  9232  5851 16385
80, 9168  5683 14683 18026 19205 16391  5878  3919 10203 15335
106,19225  9715  5738   770 19919  7732   412  8180  1328  7507
138,18856 17081  9940 19825  6137 15322  5149  8474 19969 18824
143,20172  8491  4401   411   868  7506 14277  5606 14826 18920
149, 9537 18859 11896 18418  4259  1635 19493  1710 13980   894
169,16773  6901  7030  7157 19776  8056 19927  1080  1111  7798
180, 6433  6220  6971 10089 20135 10196  5722 18231  6732  1023
210,14904 19305  9804   394 19398 14661 15538  1779 16650  6788
231,15430 11357  1344 12765 10706  7895 17136 10708  8869  1476
241, 1641  1133 15090  3788  2665 15661  4026   920  5630  4954
244,17096  2439 13782 11366  2740 18637 13237  9503  4632 11850
256,20193 19112  8999  2236  7701 11344  6736  8487  2956  4029
258, 3463 12436 17568  8573 18541 14151  8560 18401    15  1196
265, 5664 20591 16331 11696 13032  7421 11243 14066 11200  8155
268, 3855  5817  4743 14149 10975  3750  1247   559 18249 11759
271, 5023 19075   394 19305  6788  2665 19770 16583 10691 11483
272,13754 13753 13761 13760 13759 13758 13757 13756 13755 13763
275, 1006   778 20489 13894 18440   318  9710 17786 11724  8339
277,10481  7224 16673  3001   972 12910  5947 11740 16144  8640
290,14907 11715  6577   508  1710 18059   579  6098 16457 16521
310,15438 14097  8749  4603  7811  7947 12164 19733  1063  5846
326,19166  3292  4824 18175 15879 12792 11405  3708 15377  9942
365,11756  2247 14571  9984  4594  4653   368  6370  2203 13129
392, 2272 11896  6015  5100 15578  6933  9705  1195 14277 15333
407,14490 13699  1333  9806  5527  4886 19115 16336 17422 14673
413, 5477  5152 18878 13846  9550  8866 20156 11532  1023 14306
422,11006  2672  4027  8838  1800 19630 17349  6951  6348 15130
432, 3944   520 16930 11599   913 12526  6577  5286 20007  8950
455, 7953 11016  4201 13276  2807  2631  4072 13573   395  8781
470,13754 13753 13761 13760 13759 13758 13757 13756 13755 13763
492,10560 16731 16432 12165 13755 13757 13754 13752 13756 13758
495, 9963 11759  4523 16100 17200 12393   956 15781   830  9508
497,12154 12592  7198 13477  1586   344 19504 17708 17651  3200
505,13730  9229  2889  7197 13510   559 15345 16008  3950 16942
509,12681  7878  8464   176   280  5045  8259  8018 17118  7597
514, 2740  3729 17096  1746  1494 18601 17195 17881  1260 17972
529, 7178  2873  1394 11115  8727 11956   688  5178  4219 13785
532, 2253  2417 12129  4710 19776 14012  6618 12929  3021 20150
537, 1171  2079  3464  5247 12639  2672  9969  4239  7192 17907
545,16465 11282 18285  6367  1830 18547  8539 14053  6433  8112
564, 9847 10578  9996  8110 10834  5841 20247 17744  2177 14820
567,16318  6911 11020  7844  7953  8333  1520 11016 12225  7808
580,20172 10848  4401 19377 15771  1189 18920  4949   411 10024
582,12940  4909  2665 15498 14597 16100 17634 14668 11496  8872
592,13752 13751 13759 13758 13757 13756 13755 13754 13753 13761
611,10051  7989 11157  2812  8637  5859 15474 13624 19376 11744
615,  913  1014 10081  6915  8781  1039 19017 16318 16336  9242
619, 1994 19681 16820 18426 20576 18277 12440 11434  2757 18262
622, 6093  9051 17699  9429 15410 11148 10794  4839  8300  6317
625, 4710  7157  5971 19858  9051  4998 18615  6985  5314 11635
631, 6616  5987 11938 16482  8595  2160 10393  3150   745 14837
633,15209  3347  6892  8160  3190 13980 14837 13250 14591 11196
636, 1444  9678  9060 12295  9670 12173 16585 19292 10657 14142
642,17786  8822 16820 11117  2743 17918 15699 18446 19106 11292
646,18899  5846 10894  3403  7920 15495 14994  1144  1085  1071
676,  573  2674  2587  3885  9624  9705  8953 10848  9291  4127
683, 1020  5524  3491 14178  2006  5534 11961  5611 16970   849
686,12173 11654 18289 14679  3212  2212  4255  9961 10694 15633
704,13752 13751 13759 13758 13757 13756 13755 13754 13753 13761
709,13751 13750 13758 13757 13756 13755 13754 13753 13752 13760
714,11756 11740 20359 18726 19929  4653 15347  2577  7193 16802
719,18670  2680  1411 13754 13760 13759 13758 13757 13756 13755
721,20565  2298  8310  8018 10914 11914  9408 19580 11032 13759
724, 4410 17017  8951 13944 13003 19540  6639  5003  1743  6408
731, 2997 20509 12599 15779 19035  8956 11357  7807 15669 16509
735,10496 18728 12563 11896 18266  1635  2740 11366 17239  6253
737,15410  2133  7823 19929 16583  6594 13757 13755 13758 13759
740, 8709 16521  4800  2508  6776    56  4543  7645 12623  6408
744, 5679 11477  5412  8145  7463 11245  8179 19078 13808 16107
746,  658  8017  4128 18512  1322  1300 17563 16727  8088  5186
774, 5023  8423  5749 13347 10912  5048 12633  2384 16873 11661
788, 4482  5572 15474  6103  1591 20197 10848  6214  9765 18096
818, 4089 10089 20163 12507  6823  8640 13154  7224 12765 16673
859, 7544 16521  6776  8709  7645  8045 12931  9257 16708  1253
914,19254  5463 12284  3996  7163 16994 11744  3001 18729  6971
924,12134  7751  9645  6222  7505 20483 11369   148  5472 14434
925, 2551 20232 17663  6672 12712   663  4253  9473 10834  7558
926, 3189 11369 13029  3748 19471  2497  4514 16994  1443  5606
927, 5286  1979 20497 19336 16756 13456 19556  6715 11343 14213
949, 9550 14899 18920  3254  8439 19926 18090 13755 13744 13743
957, 2783 19485  4079 18218  4957  1092  6436  7750 14322  5534
961,10577 12114  2918  3341 13973 11688   762  9473 14961  9504
988, 1898 17619 13835 16281 16878  7239  6318 17056 18475 13874
994, 7539  9175 14774 20262 13384 11088  1329 18017 17879  2658
1016,14581 13747 10168 17473 15088   975 19577  6444 19662 12952
1021,19135 12804  4443 15392  8129  2915 16516  9585  3420  8855
1027, 6509 17744 10511 15703  5965 13711 16941   339 18938 17124
1046, 3558 19510  9698 12119 20444 17530 14147   468  3856 10163
1057,19834 17530  6488  5639 12421  7100  8169  8749  1525 20242
1065,10838 18956  3602  2323  8426 12466 18287   975   463  6844
1066, 3622  2897  7904  6466  4226 17200  2853 11573  7039  7700
1087,  797  1111 13029    37 10591  2627 16994  3788 16379 15542
1092,17657  4745 19834 14306  8342  2665  4212  9579 12961 17865
1099,14826 15090 10848  2151 10269   394 10691 17516 12284 16494
1103, 6433  1023  1489  3698  8437  4954  4301 15542 10089 11010
1108, 3444  3963   845  8297  9871 18057 13238  5821 14784  4255
1115, 3424  9346  9984 16756  7989 17705 11947 18262 11740 19929
1120, 6113 18051 13105  7174  7133 17928   953  4881 18146 17357
1126, 4910  6103 14826 11373 10251  5621 10596  4401 15187 10024
1129, 4072 14832 10316  4201  7550 11682  6915 17404 11016 19467
1147,18057  3413 15633  2186  6197 15543  2392 10410  6066  8297
1163,16127  7952  2809  8088 17005  9231 17585 14288 19154  5066
1169,18404 11882   628 18361 12666 17586 13406 14022 14471    56
1174,12445 18802 15752  2960  6423 11174 12360 17312 17080  9465
1238,11637  4258  9254  5074  7007  1902 18947 18707 16220 15373
1254,13753 13752 13760 13759 13758 13757 13756 13755 13754 13762
1274,20134  2674  8956 17568 10848 10013 17459 11070 20548  2367
1285, 4346  8849  3876  1588 12668  8540  5193 16650  5463  4954
1302, 7931  1357  1850 18963  1710  6285 10930 18303 17166  6951
1316,19733  3893  5661 15471  1525 16944 20415  7070   694  5482
1319, 3534 12243  5018 14376   685  2119 20175  8838  3715  5284
